"","id","y","time","trait","measure","family","Sex","CapAgeYears","Twin","jdateMC","birthjdateMC","PopDensMC","MumAge"
"5186",7708,14.1,1994,"s","LAW","gaussian",1,1,0,3.98130511463845,-2.40776014109348,-61.3252204585538,11
"4470",3808,16.5,1990,"s","LAW","gaussian",1,5,0,-0.0186948853615547,0.592239858906524,-206.325220458554,7
"4025",8610,15.5,1987,"s","LAW","gaussian",1,11,0,4.98130511463845,1.59223985890652,-165.325220458554,4
"4647",1136,16,1991,"s","LAW","gaussian",1,6,0,0.981305114638445,4.59223985890652,-82.3252204585538,8
"4754",3254,12.6,1992,"s","LAW","gaussian",1,7,0,-1.01869488536155,-2.40776014109348,-175.325220458554,9
"4448",7557,14.2,1990,"s","LAW","gaussian",1,2,0,1.98130511463845,6.59223985890652,-206.325220458554,7
"4203",3668,18.4,1988,"s","LAW","gaussian",1,11,0,15.9813051146384,-9.40776014109348,-39.3252204585538,5
"4356",1028,15.7,1990,"s","LAW","gaussian",1,12,0,-0.0186948853615547,7.59223985890652,-206.325220458554,6
"4613",12372,12.3,1991,"s","LAW","gaussian",1,1,0,1.98130511463845,-1.40776014109348,-82.3252204585538,7
"4584",12659,15,1991,"s","LAW","gaussian",1,11,0,1.98130511463845,-4.40776014109348,-82.3252204585538,7
"4975",7730,15.7,1993,"s","LAW","gaussian",1,9,0,0.981305114638445,-2.40776014109348,-53.3252204585538,9
"5156",10526,11.8,1994,"s","LAW","gaussian",1,1,0,-3.01869488536155,-4.40776014109348,-61.3252204585538,10
"4022",9806,17.1,1987,"s","LAW","gaussian",1,8,0,4.98130511463845,2.59223985890652,-165.325220458554,3
"4622",14239,17.6,1991,"s","LAW","gaussian",1,1,0,5.98130511463845,-1.40776014109348,-82.3252204585538,7
"4775",13261,15.4,1992,"s","LAW","gaussian",1,6,0,-1.01869488536155,1.59223985890652,-175.325220458554,8
"4208",807,17.2,1988,"s","LAW","gaussian",1,4,0,9.98130511463845,-0.407760141093476,-39.3252204585538,3
"3922",6570,10,1987,"s","LAW","gaussian",1,11,0,4.98130511463845,3.59223985890652,-165.325220458554,1
"5381",6980,12.1,1995,"s","LAW","gaussian",1,4,0,4.98130511463845,6.59223985890652,-139.325220458554,9
"4454",5709,16.6,1990,"s","LAW","gaussian",1,12,0,1.98130511463845,5.59223985890652,-206.325220458554,4
"4385",6925,14,1990,"s","LAW","gaussian",1,4,0,1.98130511463845,-0.407760141093476,-206.325220458554,4
"4761",7049,14.9,1992,"s","LAW","gaussian",1,7,0,-2.01869488536155,-0.407760141093476,-175.325220458554,6
"4499",4000,15.8,1990,"s","LAW","gaussian",1,12,0,-0.0186948853615547,15.5922398589065,-206.325220458554,3
"5123",13701,13.6,1994,"s","LAW","gaussian",1,5,0,1.98130511463845,-9.40776014109348,-61.3252204585538,7
"4503",6885,17.1,1990,"s","LAW","gaussian",1,12,0,-0.0186948853615547,9.59223985890652,-206.325220458554,3
"4760",6820,15.9,1992,"s","LAW","gaussian",1,2,0,-1.01869488536155,-0.407760141093476,-175.325220458554,5
"4483",10374,14.6,1990,"s","LAW","gaussian",1,9,0,-0.0186948853615547,4.59223985890652,-206.325220458554,3
"5599",10527,14.7,1996,"s","LAW","gaussian",1,11,0,3.98130511463845,5.59223985890652,78.6747795414462,9
"5163",10336,13.8,1994,"s","LAW","gaussian",1,1,0,1.98130511463845,-4.40776014109348,-61.3252204585538,7
"4813",10670,12.3,1992,"s","LAW","gaussian",1,12,0,-2.01869488536155,-5.40776014109348,-175.325220458554,4
"5329",10857,12.2,1995,"s","LAW","gaussian",1,1,0,5.98130511463845,-2.40776014109348,-139.325220458554,7
"5988",13831,12.3,1998,"s","LAW","gaussian",1,1,0,-0.0186948853615547,-14.4077601410935,94.6747795414462,10
"6367",5275,10.2,1999,"s","LAW","gaussian",1,8,0,-3.01869488536155,13.5922398589065,-171.325220458554,11
"4821",12023,13.1,1992,"s","LAW","gaussian",1,13,0,-1.01869488536155,0.592239858906524,-175.325220458554,4
"4748",6109,11.6,1992,"s","LAW","gaussian",1,10,0,-1.01869488536155,-2.40776014109348,-175.325220458554,4
"5369",3027,13.3,1995,"s","LAW","gaussian",1,7,0,0.981305114638445,3.59223985890652,-139.325220458554,7
"4785",4831,12.8,1992,"s","LAW","gaussian",1,10,0,-2.01869488536155,2.59223985890652,-175.325220458554,4
"4457",1354,12.7,1990,"s","LAW","gaussian",1,2,0,-0.0186948853615547,-10.4077601410935,-206.325220458554,1
"4688",8227,15.1,1991,"s","LAW","gaussian",1,8,0,1.98130511463845,0.592239858906524,-82.3252204585538,2
"4566",4391,11.2,1991,"s","LAW","gaussian",1,1,0,1.98130511463845,-7.40776014109348,-82.3252204585538,2
"4476",13997,13.5,1990,"s","LAW","gaussian",1,4,0,-0.0186948853615547,0.592239858906524,-206.325220458554,1
"5359",2690,15,1995,"s","LAW","gaussian",1,12,0,0.981305114638445,3.59223985890652,-139.325220458554,6
"4540",10552,13.8,1991,"s","LAW","gaussian",1,1,0,4.98130511463845,-8.40776014109348,-82.3252204585538,2
"4961",6367,15.8,1993,"s","LAW","gaussian",1,9,0,0.981305114638445,-4.40776014109348,-53.3252204585538,4
"4780",13438,11.4,1992,"s","LAW","gaussian",1,2,0,-2.01869488536155,3.59223985890652,-175.325220458554,3
"4987",14262,13.2,1993,"s","LAW","gaussian",1,9,0,1.98130511463845,-0.407760141093476,-53.3252204585538,4
"5989",661,12.3,1998,"s","LAW","gaussian",1,7,0,-2.01869488536155,-12.4077601410935,94.6747795414462,9
"4999",1821,16.6,1993,"s","LAW","gaussian",1,6,0,1.98130511463845,-1.40776014109348,-53.3252204585538,4
"5354",11202,13.1,1995,"s","LAW","gaussian",1,2,0,4.98130511463845,2.59223985890652,-139.325220458554,6
"4580",9347,14.9,1991,"s","LAW","gaussian",1,1,0,0.981305114638445,-7.40776014109348,-82.3252204585538,2
"5335",14080,13.5,1995,"s","LAW","gaussian",1,2,0,0.981305114638445,-0.407760141093476,-139.325220458554,6
"6016",659,13.7,1998,"s","LAW","gaussian",1,1,0,-3.01869488536155,-4.40776014109348,94.6747795414462,9
"5338",9375,12.8,1995,"s","LAW","gaussian",1,4,0,4.98130511463845,-1.40776014109348,-139.325220458554,5
"4901",11652,15.4,1993,"s","LAW","gaussian",1,13,0,2.98130511463845,5.59223985890652,-53.3252204585538,3
"5836",13626,14.5,1997,"s","LAW","gaussian",1,1,0,-3.01869488536155,0.592239858906524,45.6747795414462,7
"6035",860,11.7,1998,"s","LAW","gaussian",1,1,0,-0.0186948853615547,-3.40776014109348,94.6747795414462,8
"5020",3107,14.7,1993,"s","LAW","gaussian",1,6,0,1.98130511463845,0.592239858906524,-53.3252204585538,3
"5236",96,12.7,1994,"s","LAW","gaussian",1,1,0,7.98130511463845,1.59223985890652,-61.3252204585538,4
"5870",11268,12.2,1997,"s","LAW","gaussian",1,10,0,-3.01869488536155,3.59223985890652,45.6747795414462,7
"4724",3912,12.2,1992,"s","LAW","gaussian",1,10,0,-1.01869488536155,-10.4077601410935,-175.325220458554,2
"5311",316,14.4,1995,"s","LAW","gaussian",1,10,0,2.98130511463845,-11.4077601410935,-139.325220458554,5
"5307",11493,9.9,1995,"s","LAW","gaussian",1,9,0,5.98130511463845,10.5922398589065,-139.325220458554,5
"4968",5388,11.9,1993,"s","LAW","gaussian",1,1,0,-2.01869488536155,-1.40776014109348,-53.3252204585538,3
"5131",5916,14.1,1994,"s","LAW","gaussian",1,1,0,7.98130511463845,-8.40776014109348,-61.3252204585538,4
