"","LambBolCirc","Sur1","ID","Twin","jdateMC","PopDensMC","birthjdateMC","BirthYear"
"5819",218,1,10457,0,3.38041853512706,29.4992526158445,-0.215344376634704,1997
"6302",238,1,3192,0,-2.61958146487294,-187.500747384155,1.7846556233653,1999
"7220",195,1,5426,0,-1.61958146487294,-177.500747384155,0.784655623365296,2002
"7165",195,1,11837,0,-1.61958146487294,-177.500747384155,-5.2153443766347,2002
"7246",210,1,9598,0,-1.61958146487294,-177.500747384155,5.7846556233653,2002
"7574",195,1,1880,0,-1.61958146487294,-18.5007473841555,1.7846556233653,2003
"6297",206,1,2685,0,3.38041853512706,-187.500747384155,-0.215344376634704,1999
"7159",215,1,7763,0,3.38041853512706,-177.500747384155,-9.2153443766347,2002
"7193",80,1,9757,0,-1.61958146487294,-177.500747384155,-2.2153443766347,2002
"6287",184,1,1858,0,-4.61958146487294,-187.500747384155,-1.2153443766347,1999
"6569",220,1,11890,0,-5.61958146487294,-51.5007473841555,2.7846556233653,2000
"7155",185,1,10827,0,3.38041853512706,-177.500747384155,-9.2153443766347,2002
"6338",223,1,2265,0,3.38041853512706,-187.500747384155,1.7846556233653,1999
"7692",235,1,8000,0,1.38041853512706,-18.5007473841555,2.7846556233653,2003
"6317",226,1,5893,0,-4.61958146487294,-187.500747384155,2.7846556233653,1999
"7197",220,1,8210,0,-1.61958146487294,-177.500747384155,-1.2153443766347,2002
"7941",205,0,10110,0,1.38041853512706,158.499252615845,0.784655623365296,2004
"8215",217,1,1299,0,-2.61958146487294,-107.500747384155,3.7846556233653,2005
"8740",209,1,686,0,-4.61958146487294,-65.5007473841555,5.7846556233653,2007
"6557",215,1,4611,0,-0.619581464872937,-51.5007473841555,-1.2153443766347,2000
"7233",195,1,12177,0,3.38041853512706,-177.500747384155,-0.215344376634704,2002
"8152",221,1,10488,0,-0.619581464872937,-107.500747384155,-2.2153443766347,2005
"6460",210,1,9825,0,-3.61958146487294,-51.5007473841555,-11.2153443766347,2000
"7201",190,1,12138,0,-1.61958146487294,-177.500747384155,-1.2153443766347,2002
"7622",220,1,1699,0,-1.61958146487294,-18.5007473841555,6.7846556233653,2003
"7235",180,1,116,0,6.38041853512706,-177.500747384155,2.7846556233653,2002
"7543",215,1,2390,0,-1.61958146487294,-18.5007473841555,-1.2153443766347,2003
"6532",230,1,1943,0,-3.61958146487294,-51.5007473841555,-0.215344376634704,2000
"7508",210,1,14133,0,1.38041853512706,-18.5007473841555,-5.2153443766347,2003
"7194",165,1,11005,0,-1.61958146487294,-177.500747384155,-5.2153443766347,2002
"8201",222,1,576,0,-2.61958146487294,-107.500747384155,-1.2153443766347,2005
"7216",160,1,10576,0,3.38041853512706,-177.500747384155,-2.2153443766347,2002
"8657",180,0,11483,0,-0.619581464872937,-65.5007473841555,-1.2153443766347,2007
"7217",145,1,13253,0,3.38041853512706,-177.500747384155,-1.2153443766347,2002
"7539",240,1,2605,0,4.38041853512706,-18.5007473841555,-2.2153443766347,2003
"7205",190,1,9607,0,3.38041853512706,-177.500747384155,-3.2153443766347,2002
"7533",225,1,1326,0,1.38041853512706,-18.5007473841555,-3.2153443766347,2003
"8233",215,1,8453,0,-0.619581464872937,-107.500747384155,10.7846556233653,2005
"7570",235,1,13741,0,-1.61958146487294,-18.5007473841555,4.7846556233653,2003
"7529",225,1,14007,0,1.38041853512706,-18.5007473841555,-3.2153443766347,2003
"7245",120,1,11300,0,-1.61958146487294,-177.500747384155,2.7846556233653,2002
"8584",221,1,7498,0,-0.619581464872937,-65.5007473841555,-15.2153443766347,2007
"7513",230,1,10880,0,-1.61958146487294,-18.5007473841555,-6.2153443766347,2003
