"","id","animal","time","y","Twin","Sex","Horn","BirthYear","PopDensBirth","MumID","jdate","PopDensCap","CapAgeYears","horngeno","trait","measure","family","MumAge","PopDens","AgeMC","jdateMC","MumAgeMC","PopDensMC"
"346",13380,13380,0,1,1,2,3,1999,325,2834,0,NA,0,NA,"s","S1","threshold",6,325,0,0,1.30382267056013,-171.782900943396
"347",3135,3135,0,1,1,2,3,1999,325,2834,0,NA,0,NA,"s","S1","threshold",6,325,0,0,1.30382267056013,-171.782900943396
"348",1877,1877,0,1,0,2,3,1999,325,3564,0,NA,0,NA,"s","S1","threshold",3,325,0,0,-1.69617732943987,-171.782900943396
"349",10711,10711,0,1,0,2,3,1999,325,3255,0,NA,0,NA,"s","S1","threshold",4,325,0,0,-0.696177329439872,-171.782900943396
"356",9194,9194,0,1,1,2,3,1999,325,2223,0,NA,0,NA,"s","S1","threshold",9,325,0,0,4.30382267056013,-171.782900943396
"359",7656,7656,0,1,0,2,3,1999,325,2800,0,NA,0,NA,"s","S1","threshold",6,325,0,0,1.30382267056013,-171.782900943396
"360",2155,2155,0,1,0,2,3,1999,325,2342,0,NA,0,NA,"s","S1","threshold",9,325,0,0,4.30382267056013,-171.782900943396
"361",13684,13684,0,1,0,2,3,1999,325,2699,0,NA,0,NA,"s","S1","threshold",7,325,0,0,2.30382267056013,-171.782900943396
"362",12870,12870,0,1,0,2,3,1999,325,3607,0,NA,0,NA,"s","S1","threshold",3,325,0,0,-1.69617732943987,-171.782900943396
"363",4430,4430,0,1,0,2,3,1999,325,2942,0,NA,0,NA,"s","S1","threshold",6,325,0,0,1.30382267056013,-171.782900943396
"364",8880,8880,0,1,0,2,3,1999,325,3198,0,NA,0,NA,"s","S1","threshold",4,325,0,0,-0.696177329439872,-171.782900943396
"366",3472,3472,0,1,0,2,3,1999,325,3490,0,NA,0,NA,"s","S1","threshold",3,325,0,0,-1.69617732943987,-171.782900943396
"372",3547,3547,0,1,0,2,3,1999,325,3445,0,NA,0,NA,"s","S1","threshold",3,325,0,0,-1.69617732943987,-171.782900943396
"374",12007,12007,0,1,0,2,3,1999,325,3538,0,NA,0,NA,"s","S1","threshold",3,325,0,0,-1.69617732943987,-171.782900943396
"378",4427,4427,0,1,0,2,3,1999,325,3488,0,NA,0,NA,"s","S1","threshold",3,325,0,0,-1.69617732943987,-171.782900943396
"379",5436,5436,0,1,1,2,3,1996,575,2925,0,NA,0,NA,"s","S1","threshold",3,575,0,0,-1.69617732943987,78.2170990566038
"380",10217,10217,0,1,0,2,1,1996,575,2651,0,NA,0,NA,"s","S1","threshold",4,575,0,0,-0.696177329439872,78.2170990566038
"382",10677,10677,0,1,1,2,3,1999,325,3330,0,NA,0,NA,"s","S1","threshold",4,325,0,0,-0.696177329439872,-171.782900943396
"383",2594,2594,0,1,0,2,3,1999,325,2262,0,NA,0,NA,"s","S1","threshold",9,325,0,0,4.30382267056013,-171.782900943396
"390",2937,2937,0,1,0,2,3,2000,461,4051,0,NA,0,NA,"s","S1","threshold",2,461,0,0,-2.69617732943987,-35.7829009433962
"392",7247,7247,0,1,0,2,3,2000,461,3123,0,NA,0,NA,"s","S1","threshold",6,461,0,0,1.30382267056013,-35.7829009433962
"396",5008,5008,0,1,1,2,3,2000,461,3471,0,NA,0,NA,"s","S1","threshold",4,461,0,0,-0.696177329439872,-35.7829009433962
"397",3521,3521,0,1,1,2,3,2000,461,3471,0,NA,0,NA,"s","S1","threshold",4,461,0,0,-0.696177329439872,-35.7829009433962
"398",6455,6455,0,1,0,2,3,2000,461,3704,0,NA,0,NA,"s","S1","threshold",3,461,0,0,-1.69617732943987,-35.7829009433962
"399",3006,3006,0,1,1,2,3,2000,461,3255,0,NA,0,NA,"s","S1","threshold",5,461,0,0,0.303822670560128,-35.7829009433962
"401",189,189,0,1,0,2,3,2000,461,3260,0,NA,0,NA,"s","S1","threshold",5,461,0,0,0.303822670560128,-35.7829009433962
"403",4050,4050,0,1,1,2,3,2000,461,3291,0,NA,0,NA,"s","S1","threshold",5,461,0,0,0.303822670560128,-35.7829009433962
"404",12380,12380,0,1,0,2,3,2000,461,2223,0,NA,0,NA,"s","S1","threshold",10,461,0,0,5.30382267056013,-35.7829009433962
"406",13398,13398,0,1,0,2,3,2000,461,4239,0,NA,0,NA,"s","S1","threshold",1,461,0,0,-3.69617732943987,-35.7829009433962
"408",525,525,0,1,0,2,3,1999,325,3214,0,NA,0,NA,"s","S1","threshold",4,325,0,0,-0.696177329439872,-171.782900943396
"409",10219,10219,0,1,0,2,3,1999,325,3202,0,NA,0,NA,"s","S1","threshold",4,325,0,0,-0.696177329439872,-171.782900943396
"410",2509,2509,0,1,0,2,3,1999,325,2323,0,NA,0,NA,"s","S1","threshold",9,325,0,0,4.30382267056013,-171.782900943396
"411",2470,2470,0,1,1,2,3,1999,325,2807,0,NA,0,NA,"s","S1","threshold",6,325,0,0,1.30382267056013,-171.782900943396
"412",12052,12052,0,1,0,2,3,1999,325,2375,0,NA,0,NA,"s","S1","threshold",9,325,0,0,4.30382267056013,-171.782900943396
"413",10365,10365,0,1,0,2,3,2000,461,3248,0,NA,0,NA,"s","S1","threshold",5,461,0,0,0.303822670560128,-35.7829009433962
"414",10521,10521,0,1,0,2,3,2000,461,3316,0,NA,0,NA,"s","S1","threshold",5,461,0,0,0.303822670560128,-35.7829009433962
"415",9946,9946,0,1,1,2,3,2000,461,3221,0,NA,0,NA,"s","S1","threshold",5,461,0,0,0.303822670560128,-35.7829009433962
"418",1146,1146,0,1,0,2,3,2000,461,3538,0,NA,0,NA,"s","S1","threshold",4,461,0,0,-0.696177329439872,-35.7829009433962
"421",13806,13806,0,1,0,2,3,2000,461,3301,0,NA,0,NA,"s","S1","threshold",5,461,0,0,0.303822670560128,-35.7829009433962
"422",11575,11575,0,1,0,2,3,2000,461,3488,0,NA,0,NA,"s","S1","threshold",4,461,0,0,-0.696177329439872,-35.7829009433962
"427",2282,2282,0,1,1,2,3,2000,461,2829,0,NA,0,NA,"s","S1","threshold",7,461,0,0,2.30382267056013,-35.7829009433962
"428",3210,3210,0,1,1,2,3,2000,461,2829,0,NA,0,NA,"s","S1","threshold",7,461,0,0,2.30382267056013,-35.7829009433962
"430",6200,6200,0,1,0,2,3,2000,461,2841,0,NA,0,NA,"s","S1","threshold",7,461,0,0,2.30382267056013,-35.7829009433962
"431",11549,11549,0,1,0,2,3,2000,461,2364,0,NA,0,NA,"s","S1","threshold",10,461,0,0,5.30382267056013,-35.7829009433962
"433",13089,13089,0,1,0,2,3,2000,461,3203,0,NA,0,NA,"s","S1","threshold",5,461,0,0,0.303822670560128,-35.7829009433962
"435",2463,2463,0,1,1,2,3,2000,461,3255,0,NA,0,NA,"s","S1","threshold",5,461,0,0,0.303822670560128,-35.7829009433962
"436",10640,10640,0,1,0,2,3,2000,461,2707,0,NA,0,NA,"s","S1","threshold",8,461,0,0,3.30382267056013,-35.7829009433962
"441",2745,2745,0,1,0,2,3,2000,461,3328,0,NA,0,NA,"s","S1","threshold",5,461,0,0,0.303822670560128,-35.7829009433962
"453",6706,6706,0,1,0,2,1,2000,461,3469,0,NA,0,NA,"s","S1","threshold",4,461,0,0,-0.696177329439872,-35.7829009433962
"456",8268,8268,0,1,0,2,3,2000,461,2800,0,NA,0,NA,"s","S1","threshold",7,461,0,0,2.30382267056013,-35.7829009433962
"457",12690,12690,0,1,1,2,3,2000,461,3201,0,NA,0,NA,"s","S1","threshold",5,461,0,0,0.303822670560128,-35.7829009433962
"460",2357,2357,0,1,0,2,3,1999,325,2245,0,NA,0,NA,"s","S1","threshold",9,325,0,0,4.30382267056013,-171.782900943396
