"","animal","dam","sire"
"622",13654,NA,NA
"623",10423,NA,NA
"624",13325,NA,NA
"625",6635,NA,NA
"626",11106,NA,NA
"627",3497,NA,NA
"628",10572,NA,NA
"629",9078,NA,NA
"630",6565,NA,NA
"631",5801,NA,NA
"632",3851,NA,NA
"633",1089,NA,NA
"634",1292,NA,NA
"635",8964,NA,NA
"636",13104,NA,NA
"637",11972,NA,NA
"638",1195,NA,NA
"639",3074,NA,NA
"640",13985,NA,NA
"641",5326,NA,NA
"642",4068,NA,NA
"643",14073,NA,NA
"644",3591,NA,NA
"645",2488,NA,NA
"646",12245,NA,NA
"647",140,NA,NA
"648",598,NA,NA
"649",10370,NA,NA
"650",3529,NA,NA
"651",13298,NA,NA
"652",10751,NA,NA
"653",10317,NA,NA
"654",6858,NA,NA
"655",13337,NA,NA
"656",2094,NA,NA
"657",5039,NA,NA
"658",995,NA,NA
"659",2476,NA,NA
"660",6207,NA,NA
"661",9899,NA,NA
"662",13210,NA,NA
"663",4407,NA,NA
"664",11813,NA,NA
"665",9124,NA,NA
"666",8388,NA,NA
"667",9288,NA,NA
"668",13607,NA,NA
"669",2967,NA,NA
"670",7331,NA,NA
"671",3296,NA,NA
"672",7272,NA,NA
"673",12933,NA,NA
"674",12678,NA,NA
"675",14149,NA,NA
"676",8966,NA,NA
"677",1490,NA,NA
"678",3812,NA,NA
"679",3601,NA,NA
"680",12670,NA,NA
"681",2078,NA,NA
"682",13686,NA,NA
"683",1364,NA,NA
"684",2681,NA,NA
"685",13675,NA,NA
"686",11911,NA,NA
"687",11691,NA,NA
"688",14177,NA,NA
"689",5002,NA,NA
"690",5925,NA,NA
"691",6765,NA,NA
"692",4855,NA,NA
"693",4422,NA,NA
"694",5830,NA,NA
"695",13817,NA,NA
"696",12623,NA,NA
"697",1068,NA,NA
"698",9346,NA,NA
"699",8303,NA,NA
"700",2130,NA,NA
"701",2258,NA,NA
"702",2870,NA,NA
"703",13996,NA,NA
"704",456,NA,NA
"705",12809,NA,NA
"706",2619,NA,NA
"707",5517,NA,NA
"708",6107,NA,NA
"709",7907,NA,NA
"710",12880,NA,NA
"711",5881,NA,NA
"712",9844,NA,NA
"713",4294,NA,NA
"714",13045,NA,NA
"715",3645,NA,NA
"716",11069,NA,NA
"717",3679,NA,NA
"718",6006,NA,NA
"719",5803,NA,NA
"720",10633,NA,NA
"721",4951,NA,NA
"722",848,NA,NA
"723",2630,NA,NA
"724",3151,NA,NA
"725",2377,NA,NA
"726",8452,NA,NA
"727",10220,NA,NA
"728",6024,NA,NA
"729",10344,NA,NA
"730",6924,NA,NA
"731",12600,NA,NA
"732",977,NA,NA
"733",11834,NA,NA
"734",7313,NA,NA
"735",9859,NA,NA
"736",7184,NA,NA
"737",11952,NA,NA
"738",7608,NA,NA
"739",6048,NA,NA
"740",6106,NA,NA
"741",13022,NA,NA
"742",12420,NA,NA
"743",8597,NA,NA
"744",4146,NA,NA
"745",1168,NA,NA
"746",9179,NA,NA
"747",11792,NA,NA
"748",9248,NA,NA
"749",10332,NA,NA
"750",12095,NA,NA
"751",3023,NA,NA
"752",11121,NA,NA
"753",7007,NA,NA
"754",6879,NA,NA
"755",9799,NA,NA
"756",1359,NA,NA
"757",10184,NA,NA
"758",4031,NA,NA
"759",9237,NA,NA
"760",7056,NA,NA
"761",11701,NA,NA
"762",8263,NA,NA
"763",5788,NA,NA
"764",2775,NA,NA
"765",836,NA,NA
"766",6406,NA,NA
"767",12943,NA,NA
"768",8585,NA,NA
"769",8081,NA,NA
"770",11977,NA,NA
"771",5044,NA,NA
"772",12358,NA,NA
"773",3101,NA,NA
"774",4971,NA,NA
"775",1387,NA,NA
"776",11671,NA,NA
"777",5145,NA,NA
"778",1302,NA,NA
"779",6813,NA,NA
"780",8914,NA,NA
"781",1760,NA,NA
"782",1820,NA,NA
"783",13472,NA,NA
"784",10406,NA,NA
"785",12675,NA,NA
