"","id","y","time","trait","measure","family","CapAgeYears","Twin","jdateMC","PopDensMC"
"3202",14037,0,1996,"s","LBS","poisson",0,0,0,140.971354166667
"3203",6694,12,1996,"s","LBS","poisson",0,0,0,140.971354166667
"3204",2463,0,1996,"s","LBS","poisson",0,0,0,140.971354166667
"3249",5007,0,1996,"s","LBS","poisson",0,0,0,140.971354166667
"3254",7906,1,1996,"s","LBS","poisson",0,0,0,140.971354166667
"3319",11731,0,1997,"s","LBS","poisson",0,0,0,107.971354166667
"3320",1632,0,1997,"s","LBS","poisson",0,0,0,107.971354166667
"3322",13880,0,1997,"s","LBS","poisson",0,0,0,107.971354166667
"3324",9208,0,1997,"s","LBS","poisson",0,0,0,107.971354166667
"3399",4469,4,1997,"s","LBS","poisson",0,0,0,107.971354166667
"3401",320,0,1997,"s","LBS","poisson",0,0,0,107.971354166667
"3404",10173,0,1996,"s","LBS","poisson",0,0,0,140.971354166667
"3469",140,0,1997,"s","LBS","poisson",0,0,0,107.971354166667
"3470",9232,0,1997,"s","LBS","poisson",0,0,0,107.971354166667
"3472",3559,8,1997,"s","LBS","poisson",0,0,0,107.971354166667
"3480",7972,0,1997,"s","LBS","poisson",0,0,0,107.971354166667
"3481",13920,0,1997,"s","LBS","poisson",0,0,0,107.971354166667
"3535",5708,0,1996,"s","LBS","poisson",0,0,0,140.971354166667
"3551",4024,0,1996,"s","LBS","poisson",0,0,0,140.971354166667
"3552",9393,0,1996,"s","LBS","poisson",0,1,0,140.971354166667
"3553",3644,6,1995,"s","LBS","poisson",0,0,0,-77.0286458333333
"3778",229,2,1998,"s","LBS","poisson",0,0,0,156.971354166667
"3874",10457,4,1997,"s","LBS","poisson",0,0,0,107.971354166667
"3990",4597,2,1999,"s","LBS","poisson",0,0,0,-109.028645833333
"3991",9060,1,1999,"s","LBS","poisson",0,0,0,-109.028645833333
"3992",1858,49,1999,"s","LBS","poisson",0,0,0,-109.028645833333
"3994",1260,2,1999,"s","LBS","poisson",0,1,0,-109.028645833333
"3995",5865,25,1999,"s","LBS","poisson",0,1,0,-109.028645833333
"3996",5893,10,1999,"s","LBS","poisson",0,0,0,-109.028645833333
"3997",6898,1,1999,"s","LBS","poisson",0,0,0,-109.028645833333
"4004",10634,0,1999,"s","LBS","poisson",0,1,0,-109.028645833333
"4056",2508,3,1999,"s","LBS","poisson",0,0,0,-109.028645833333
"4057",11665,0,1999,"s","LBS","poisson",0,0,0,-109.028645833333
"4058",2027,2,1999,"s","LBS","poisson",0,0,0,-109.028645833333
"4059",8425,0,1999,"s","LBS","poisson",0,0,0,-109.028645833333
"4060",10767,0,1999,"s","LBS","poisson",0,0,0,-109.028645833333
"4061",6381,2,1999,"s","LBS","poisson",0,0,0,-109.028645833333
"4063",8882,2,1999,"s","LBS","poisson",0,0,0,-109.028645833333
"4114",9348,2,1999,"s","LBS","poisson",0,0,0,-109.028645833333
"4116",2265,48,1999,"s","LBS","poisson",0,0,0,-109.028645833333
"4120",2825,8,1999,"s","LBS","poisson",0,0,0,-109.028645833333
"4125",1107,17,1996,"s","LBS","poisson",0,1,0,140.971354166667
"4126",9587,3,1996,"s","LBS","poisson",0,0,0,140.971354166667
"4138",11193,1,1999,"s","LBS","poisson",0,1,0,-109.028645833333
"4139",7258,5,1999,"s","LBS","poisson",0,0,0,-109.028645833333
"4356",6594,1,2000,"s","LBS","poisson",0,0,0,26.9713541666667
"4358",6306,0,2000,"s","LBS","poisson",0,0,0,26.9713541666667
"4363",3070,0,2000,"s","LBS","poisson",0,1,0,26.9713541666667
"4364",8593,69,2000,"s","LBS","poisson",0,1,0,26.9713541666667
"4365",2457,0,2000,"s","LBS","poisson",0,0,0,26.9713541666667
"4367",12363,3,2000,"s","LBS","poisson",0,1,0,26.9713541666667
"4369",977,0,2000,"s","LBS","poisson",0,0,0,26.9713541666667
"4371",8765,21,2000,"s","LBS","poisson",0,1,0,26.9713541666667
"4372",13543,0,2000,"s","LBS","poisson",0,0,0,26.9713541666667
"4374",11832,1,2000,"s","LBS","poisson",0,0,0,26.9713541666667
"4377",2089,1,1999,"s","LBS","poisson",0,0,0,-109.028645833333
"4379",355,3,1999,"s","LBS","poisson",0,0,0,-109.028645833333
"4380",7793,0,1999,"s","LBS","poisson",0,0,0,-109.028645833333
"4382",7408,0,1999,"s","LBS","poisson",0,1,0,-109.028645833333
"4384",554,7,1999,"s","LBS","poisson",0,0,0,-109.028645833333
"4503",10186,0,2000,"s","LBS","poisson",0,1,0,26.9713541666667
"4504",8939,0,2000,"s","LBS","poisson",0,1,0,26.9713541666667
"4506",4083,1,2000,"s","LBS","poisson",0,0,0,26.9713541666667
"4507",10722,0,2000,"s","LBS","poisson",0,0,0,26.9713541666667
"4509",8456,0,2000,"s","LBS","poisson",0,0,0,26.9713541666667
"4512",14275,1,2000,"s","LBS","poisson",0,1,0,26.9713541666667
"4513",1719,1,2000,"s","LBS","poisson",0,0,0,26.9713541666667
"4518",7121,0,2000,"s","LBS","poisson",0,0,0,26.9713541666667
"4520",12724,13,2000,"s","LBS","poisson",0,0,0,26.9713541666667
"4564",7738,0,2000,"s","LBS","poisson",0,0,0,26.9713541666667
"4590",697,0,2000,"s","LBS","poisson",0,0,0,26.9713541666667
"4591",4982,0,2000,"s","LBS","poisson",0,1,0,26.9713541666667
"4592",12718,7,2000,"s","LBS","poisson",0,0,0,26.9713541666667
"4595",7737,0,1999,"s","LBS","poisson",0,0,0,-109.028645833333
