"","id","y","time","trait","measure","family","CapAgeYears","Twin","jdateMC","PopDensMC"
"2031",9967,4,1992,"s","LBS","poisson",0,1,0,-90.9307875894988
"2034",8219,4,1992,"s","LBS","poisson",0,0,0,-90.9307875894988
"2065",5038,0,1992,"s","LBS","poisson",0,1,0,-90.9307875894988
"2079",13555,1,1992,"s","LBS","poisson",0,0,0,-90.9307875894988
"2089",10766,30,1992,"s","LBS","poisson",0,0,0,-90.9307875894988
"2129",6912,0,1993,"s","LBS","poisson",0,1,0,31.0692124105012
"2134",2173,3,1992,"s","LBS","poisson",0,0,0,-90.9307875894988
"2166",8692,0,1993,"s","LBS","poisson",0,1,0,31.0692124105012
"2219",630,7,1993,"s","LBS","poisson",0,0,0,31.0692124105012
"2220",13789,0,1993,"s","LBS","poisson",0,0,0,31.0692124105012
"2221",876,0,1993,"s","LBS","poisson",0,0,0,31.0692124105012
"2222",2841,4,1993,"s","LBS","poisson",0,0,0,31.0692124105012
"2278",4894,13,1989,"s","LBS","poisson",0,0,0,-200.930787589499
"2433",11215,3,1993,"s","LBS","poisson",0,0,0,31.0692124105012
"2434",8137,1,1993,"s","LBS","poisson",0,0,0,31.0692124105012
"2438",3747,15,1993,"s","LBS","poisson",0,0,0,31.0692124105012
"2507",2650,11,1990,"s","LBS","poisson",0,0,0,-121.930787589499
"2508",9498,6,1993,"s","LBS","poisson",0,1,0,31.0692124105012
"2511",13278,3,1993,"s","LBS","poisson",0,0,0,31.0692124105012
"2555",5770,3,1995,"s","LBS","poisson",0,0,0,-54.9307875894988
"2590",6518,18,1995,"s","LBS","poisson",0,0,0,-54.9307875894988
"2593",7515,2,1995,"s","LBS","poisson",0,0,0,-54.9307875894988
"2625",9542,1,1995,"s","LBS","poisson",0,1,0,-54.9307875894988
"2628",10052,1,1995,"s","LBS","poisson",0,0,0,-54.9307875894988
"2630",14254,0,1995,"s","LBS","poisson",0,0,0,-54.9307875894988
"2634",11220,0,1995,"s","LBS","poisson",0,0,0,-54.9307875894988
"2637",8051,5,1995,"s","LBS","poisson",0,0,0,-54.9307875894988
"2638",9195,1,1995,"s","LBS","poisson",0,0,0,-54.9307875894988
"2640",97,58,1995,"s","LBS","poisson",0,0,0,-54.9307875894988
"2668",2114,0,1995,"s","LBS","poisson",0,1,0,-54.9307875894988
"2675",9608,1,1995,"s","LBS","poisson",0,0,0,-54.9307875894988
"2693",1841,0,1995,"s","LBS","poisson",0,0,0,-54.9307875894988
"2707",9816,0,1995,"s","LBS","poisson",0,1,0,-54.9307875894988
"2765",14244,0,1995,"s","LBS","poisson",0,0,0,-54.9307875894988
"2767",4402,0,1995,"s","LBS","poisson",0,0,0,-54.9307875894988
"2772",954,38,1995,"s","LBS","poisson",0,1,0,-54.9307875894988
"2785",13007,0,1995,"s","LBS","poisson",0,0,0,-54.9307875894988
"2788",8962,1,1995,"s","LBS","poisson",0,0,0,-54.9307875894988
"2789",13074,3,1995,"s","LBS","poisson",0,0,0,-54.9307875894988
"2808",6052,1,1995,"s","LBS","poisson",0,1,0,-54.9307875894988
"2810",530,3,1995,"s","LBS","poisson",0,1,0,-54.9307875894988
