"","ID","Weight","CapAgeYears","Sex","Twin","jdateMC","PopDensMC","CapYear","BirthYear","animal"
"1202",5780,24.9,3,1,0,2.38777638715061,-218.824155193993,1990,1987,5780
"1203",11283,19.6,1,1,0,2.38777638715061,-218.824155193993,1990,1989,11283
"1205",12643,18,1,1,0,2.38777638715061,-218.824155193993,1990,1989,12643
"1209",850,19.6,1,1,0,3.38777638715061,-218.824155193993,1990,1989,850
"1210",5562,27.9,1,2,0,3.38777638715061,-218.824155193993,1990,1989,5562
"1212",7405,16.5,1,2,0,3.38777638715061,-218.824155193993,1990,1989,7405
"1213",197,26.2,1,2,0,8.38777638715061,-218.824155193993,1990,1989,197
"1214",9861,34.3,3,2,1,9.38777638715061,-218.824155193993,1990,1987,9861
"1215",10784,21.6,1,1,0,9.38777638715061,-218.824155193993,1990,1989,10784
"1255",6317,24.4,1,2,0,1.38777638715061,-94.8241551939925,1991,1990,6317
"1256",7839,25.6,1,2,0,1.38777638715061,-94.8241551939925,1991,1990,7839
"1257",3704,20.8,1,1,0,1.38777638715061,-94.8241551939925,1991,1990,3704
"1258",1969,21.6,1,1,0,1.38777638715061,-94.8241551939925,1991,1990,1969
"1259",1265,16.9,1,1,1,1.38777638715061,-94.8241551939925,1991,1990,1265
"1260",207,23.7,2,1,0,1.38777638715061,-94.8241551939925,1991,1989,207
"1261",8958,20.7,2,1,0,1.38777638715061,-94.8241551939925,1991,1989,8958
"1262",4974,17.9,2,1,0,1.38777638715061,-94.8241551939925,1991,1989,4974
"1263",7548,15.2,2,1,1,1.38777638715061,-94.8241551939925,1991,1989,7548
"1264",4666,25.3,3,1,0,1.38777638715061,-94.8241551939925,1991,1988,4666
"1265",3483,24.1,4,1,0,1.38777638715061,-94.8241551939925,1991,1987,3483
"1281",11012,16.9,1,1,0,1.38777638715061,-94.8241551939925,1991,1990,11012
"1282",12064,20,1,1,0,1.38777638715061,-94.8241551939925,1991,1990,12064
"1283",1028,19.6,1,1,0,1.38777638715061,-94.8241551939925,1991,1990,1028
"1284",224,18,1,1,1,1.38777638715061,-94.8241551939925,1991,1990,224
"1285",12918,24.4,2,1,0,1.38777638715061,-94.8241551939925,1991,1989,12918
"1286",8052,22.6,4,1,1,1.38777638715061,-94.8241551939925,1991,1987,8052
