"","LambHindLeg","Sur1","ID","Sex","Twin","jdateMC","PopDensMC","birthjdateMC","BirthYear"
"6044",158,1,2744,1,1,-2.712745719721,88.2935954343691,-2.20435263740318,1998
"5848",148,1,2447,1,1,1.287254280279,39.2935954343691,0.795647362596824,1997
"6441",139,1,12548,1,1,-5.712745719721,-41.7064045656309,-21.2043526374032,2000
"7554",147,1,12846,1,1,1.287254280279,-8.70640456563092,-1.20435263740318,2003
"7517",156,1,13271,1,1,1.287254280279,-8.70640456563092,-5.20435263740318,2003
"7518",156,1,3427,1,1,1.287254280279,-8.70640456563092,-5.20435263740318,2003
"6689",160,1,10886,1,1,-12.712745719721,148.293595434369,0.795647362596824,2001
"6710",155,1,1631,1,1,-6.712745719721,148.293595434369,0.795647362596824,2001
"7181",147,1,14179,1,1,3.287254280279,-167.706404565631,-2.20435263740318,2002
"7238",149,1,13060,1,1,-1.712745719721,-167.706404565631,-2.20435263740318,2002
"6572",167,1,9691,1,1,-5.712745719721,-41.7064045656309,3.79564736259682,2000
"7599",163,1,12946,1,1,-1.712745719721,-8.70640456563092,6.79564736259682,2003
"6780",147,1,3640,1,1,6.287254280279,148.293595434369,-7.20435263740318,2001
"7191",145,1,868,1,1,3.287254280279,-167.706404565631,-5.20435263740318,2002
"7189",142,1,239,1,1,-1.712745719721,-167.706404565631,-3.20435263740318,2002
"8907",151,1,8065,1,1,-7.712745719721,64.2935954343691,-4.20435263740318,2008
"8729",153,1,10699,1,1,-0.712745719720999,-55.7064045656309,0.795647362596824,2007
"9727",143,1,2450,1,1,-4.712745719721,169.293595434369,-2.20435263740318,2010
"8988",146,1,2990,1,1,-6.712745719721,64.2935954343691,2.79564736259682,2008
"7871",163,1,7862,1,1,1.287254280279,168.293595434369,-0.204352637403176,2004
"8963",155,1,5835,1,1,-7.712745719721,64.2935954343691,0.795647362596824,2008
"8964",186,1,11375,1,1,-7.712745719721,64.2935954343691,0.795647362596824,2008
"8608",152,1,11676,1,1,-4.712745719721,-55.7064045656309,-5.20435263740318,2007
"8626",157,1,5188,1,1,-4.712745719721,-55.7064045656309,-3.20435263740318,2007
"9524",149,1,12377,1,1,-4.712745719721,169.293595434369,-3.20435263740318,2010
"8716",142,1,9741,1,1,-4.712745719721,-55.7064045656309,2.79564736259682,2007
"8921",165,1,10412,1,1,-6.712745719721,64.2935954343691,-3.20435263740318,2008
"8914",141,1,12580,1,1,-0.712745719720999,64.2935954343691,-4.20435263740318,2008
"8954",146,1,10020,1,1,-6.712745719721,64.2935954343691,-3.20435263740318,2008
"4687",170,1,7945,1,0,2.287254280279,-88.7064045656309,1.79564736259682,1991
"4800",159,1,6496,1,0,-1.712745719721,-181.706404565631,65.7956473625968,1992
"4820",166,1,12952,1,0,-0.712745719720999,-181.706404565631,-7.20435263740318,1992
"4533",169,1,4886,1,0,1.287254280279,-88.7064045656309,-13.2043526374032,1991
"4435",167,1,3704,1,0,2.287254280279,-212.706404565631,2.79564736259682,1990
"4734",148,1,3586,1,0,-0.712745719720999,-181.706404565631,-6.20435263740318,1992
"4555",168,1,1452,1,0,2.287254280279,-88.7064045656309,-9.20435263740318,1991
"4207",175,1,4666,1,0,10.287254280279,-45.7064045656309,-6.20435263740318,1988
"4689",172,1,2283,1,0,1.287254280279,-88.7064045656309,-8.20435263740318,1991
"4307",168,1,11954,1,0,5.287254280279,-291.706404565631,2.79564736259682,1989
"5186",164,1,7708,1,0,4.287254280279,-67.7064045656309,-2.20435263740318,1994
"4470",170,1,3808,1,0,0.287254280279001,-212.706404565631,0.795647362596824,1990
"4647",165,1,1136,1,0,1.287254280279,-88.7064045656309,4.79564736259682,1991
"4754",170,1,3254,1,0,-0.712745719720999,-181.706404565631,-2.20435263740318,1992
"4448",162,1,7557,1,0,2.287254280279,-212.706404565631,6.79564736259682,1990
"4203",175,1,3668,1,0,16.287254280279,-45.7064045656309,-9.20435263740318,1988
"4356",150,1,1028,1,0,0.287254280279001,-212.706404565631,7.79564736259682,1990
"4613",164,1,12372,1,0,2.287254280279,-88.7064045656309,-1.20435263740318,1991
"4584",164,1,12659,1,0,2.287254280279,-88.7064045656309,-4.20435263740318,1991
"4975",173,1,7730,1,0,1.287254280279,-59.7064045656309,-2.20435263740318,1993
"5156",151,1,10526,1,0,-2.712745719721,-67.7064045656309,-4.20435263740318,1994
