"","id","y","time","trait","measure","family","CapAgeYears","Sex","Twin","jdateMC","PopDensMC"
"1203",11283,3,1989,"s","LBS","poisson",0,1,0,0,-218.064822134387
"1205",12643,9,1989,"s","LBS","poisson",0,1,0,0,-218.064822134387
"1209",850,13,1989,"s","LBS","poisson",0,1,0,0,-218.064822134387
"1210",5562,55,1989,"s","LBS","poisson",0,2,0,0,-218.064822134387
"1212",7405,0,1989,"s","LBS","poisson",0,2,0,0,-218.064822134387
"1213",197,0,1989,"s","LBS","poisson",0,2,0,0,-218.064822134387
"1215",10784,9,1989,"s","LBS","poisson",0,1,0,0,-218.064822134387
"1255",6317,4,1990,"s","LBS","poisson",0,2,0,0,-139.064822134387
"1256",7839,7,1990,"s","LBS","poisson",0,2,0,0,-139.064822134387
"1257",3704,2,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"1258",1969,2,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"1259",1265,10,1990,"s","LBS","poisson",0,1,1,0,-139.064822134387
"1263",7548,2,1989,"s","LBS","poisson",0,1,1,0,-218.064822134387
"1281",11012,4,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"1282",12064,9,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"1283",1028,11,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"1284",224,10,1990,"s","LBS","poisson",0,1,1,0,-139.064822134387
"1286",8052,12,1987,"s","LBS","poisson",0,1,1,0,-98.0648221343873
"1307",13997,3,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"1308",8195,6,1990,"s","LBS","poisson",0,2,0,0,-139.064822134387
"1309",10556,11,1990,"s","LBS","poisson",0,1,0,0,-139.064822134387
"1310",7159,8,1990,"s","LBS","poisson",0,2,0,0,-139.064822134387
"1311",5344,1,1990,"s","LBS","poisson",0,2,0,0,-139.064822134387
"1312",2725,45,1990,"s","LBS","poisson",0,2,0,0,-139.064822134387
"1313",7303,0,1990,"s","LBS","poisson",0,2,1,0,-139.064822134387
"1314",6737,2,1990,"s","LBS","poisson",0,1,1,0,-139.064822134387
