"","ID","LambAugWeight","LambHindLeg","LambHornLen","LambBolCirc","Sex","PopDensBirth","MumAge","Twin","CapJDate"
"12632",7127,11.2,155,NA,NA,1,444,10,0,226
"12791",3750,9.45,149,NA,NA,1,528,11,0,226
"9074",11826,3.6,118,NA,87,2,567,2,0,222
"9720",863,13.8,165,NA,NA,1,672,4,0,230
"8930",5128,14.1,157,124,188,2,567,2,0,225
"9345",10682,16.3,166,119,230,2,617,3,0,224
"10962",1241,16.6,174,162,240,2,362,6,0,226
"12410",972,11.05,154,NA,NA,1,513,9,0,218
"10766",3568,10.7,139,NA,NA,1,362,6,0,228
"8972",5375,14.1,167,83,185,2,567,2,0,225
"9194",7200,14.1,168,105,212,2,617,3,0,229
"10762",3732,15.3,170,NA,NA,1,362,6,0,234
"8923",8490,9.7,144,128,164,2,567,2,0,218
"10481",10614,14.7,163,NA,NA,1,649,5,0,226
"8791",11469,4.4,121,NA,90,2,447,1,0,221
"8995",2399,9.6,146,43,146,2,567,2,0,218
"8936",3454,12.4,164,83,172,2,567,2,0,225
"9571",12882,13.8,165,NA,210,2,672,4,0,230
"9521",14252,14.9,170,173,180,2,672,3,0,221
"11763",1474,16.9,169,125,225,2,482,7,0,230
"13075",6441,10.7,146,101,135,2,378,11,0,223
"10306",6064,11.7,154,152,185,2,649,4,0,226
"9065",5417,11.6,158,61,146,2,567,1,0,219
"9181",7262,13.4,166,134,162,2,617,2,0,229
"9700",5601,13.1,160,NA,NA,1,672,3,0,228
"11886",13773,9.8,143,NA,NA,1,482,7,0,220
"9102",13445,6.5,133,NA,NA,1,567,1,0,225
"9450",5476,12.3,154,110,170,2,672,3,0,221
"10230",10205,14.1,167,112,200,2,649,4,0,224
"11234",8173,14.8,169,NA,NA,1,545,6,0,233
"11054",10487,16.4,172,160,230,2,545,6,0,223
"11824",6721,15.25,161,NA,NA,1,482,7,0,223
"9703",3724,11.6,158,83,190,2,672,3,0,228
"10370",11584,11.6,160,96,170,2,649,4,0,222
"11157",12998,12.75,156,183,195,2,545,6,0,223
"9692",10810,13.3,161,142,175,2,672,3,0,221
"10782",12078,13.6,166,NA,NA,1,362,5,0,226
"9216",1655,14.5,164,153,215,2,617,2,0,224
"10712",1921,16.8,165,180,225,2,362,5,0,226
"12171",12334,13.25,161,NA,NA,1,513,8,0,218
"10238",250,12.3,157,151,205,2,649,4,0,222
"12185",11311,13.75,170,110,185,2,513,8,0,218
"9201",8254,11.3,153,79,170,2,617,2,0,223
"10362",12103,11,161,NA,135,2,649,4,0,222
"12314",7362,10.9,157,NA,NA,1,513,8,0,221
"12168",13845,10.95,152,NA,NA,1,513,8,0,226
"9701",8810,13.2,155,130,190,2,672,3,0,228
