"","LambAugWeight","Sur1","ID","Sex","Twin","jdateMC","PopDensMC","birthjdateMC","BirthYear"
"12829",7.8,0,1737,1,1,-2.96837944664031,29.7549407114624,0.592239858906524,2017
"12830",7.9,0,2072,2,1,-2.96837944664031,29.7549407114624,0.592239858906524,2017
"12802",10.3,0,10048,1,1,0.0316205533596872,29.7549407114624,0.592239858906524,2017
"12803",8.55,0,2550,1,1,0.0316205533596872,29.7549407114624,0.592239858906524,2017
"12214",10,0,11722,1,1,0.0316205533596872,14.7549407114624,0.592239858906524,2015
"12215",9.15,0,9728,2,1,0.0316205533596872,14.7549407114624,0.592239858906524,2015
"11878",12.95,1,3731,1,1,-2.96837944664031,-16.2450592885376,5.59223985890652,2014
"12312",9.15,0,10779,2,1,-4.96837944664031,14.7549407114624,10.5922398589065,2015
"12774",9.85,0,3246,1,1,-2.96837944664031,29.7549407114624,-2.40776014109348,2017
"12775",11.05,0,3038,2,1,-2.96837944664031,29.7549407114624,-2.40776014109348,2017
"7459",11.6,0,2413,2,1,-3.96837944664031,152.754940711462,-5.40776014109348,2001
"3560",5.3,0,5992,2,1,0.0316205533596872,10.7549407114624,0.592239858906524,1985
"3581",9.5,0,5840,2,1,0.0316205533596872,10.7549407114624,0.592239858906524,1985
"3624",14.2,0,2007,2,1,12.0316205533597,10.7549407114624,3.59223985890652,1985
"3626",11.3,0,4366,2,1,2.03162055335969,10.7549407114624,2.59223985890652,1985
"3630",11.2,0,1364,2,1,1.03162055335969,10.7549407114624,2.59223985890652,1985
"3656",13.7,0,11739,2,1,-0.968379446640313,10.7549407114624,5.59223985890652,1985
"12302",12.6,0,12804,2,1,0.0316205533596872,14.7549407114624,0.592239858906524,2015
"13029",12.65,1,5320,1,1,-2.96837944664031,-120.245059288538,-11.4077601410935,2018
"13096",9,1,9579,1,1,1.03162055335969,-120.245059288538,-0.407760141093476,2018
"13097",8.2,0,4149,1,1,1.03162055335969,-120.245059288538,-0.407760141093476,2018
"13099",9.05,0,223,2,1,-2.96837944664031,-120.245059288538,-0.407760141093476,2018
"13117",11.95,1,9303,2,1,6.03162055335969,-120.245059288538,2.59223985890652,2018
"13120",10.35,1,5414,1,1,-2.96837944664031,-120.245059288538,0.592239858906524,2018
"13119",7.4,0,367,1,1,-2.96837944664031,-120.245059288538,0.592239858906524,2018
"13132",8.75,0,5525,2,1,-2.96837944664031,-120.245059288538,2.59223985890652,2018
"13133",10.05,0,2659,1,1,-2.96837944664031,-120.245059288538,2.59223985890652,2018
"13138",13.8,0,8147,2,1,-2.96837944664031,-120.245059288538,6.59223985890652,2018
"13389",10.2,1,10838,1,1,0.0316205533596872,9.75494071146244,-4.40776014109348,2019
"13390",13.55,0,13514,2,1,0.0316205533596872,9.75494071146244,-4.40776014109348,2019
"13422",12.45,0,3901,2,1,-2.96837944664031,9.75494071146244,-3.40776014109348,2019
"13433",8.15,0,2537,2,1,0.0316205533596872,9.75494071146244,-2.40776014109348,2019
"13434",7.55,0,1885,1,1,0.0316205533596872,9.75494071146244,-2.40776014109348,2019
"13458",7.5,0,8416,1,1,-2.96837944664031,9.75494071146244,0.592239858906524,2019
"13459",6.55,0,14097,2,1,-2.96837944664031,9.75494071146244,0.592239858906524,2019
"13476",12.95,0,12812,1,1,-2.96837944664031,9.75494071146244,2.59223985890652,2019
"13477",12.1,0,7731,1,1,-2.96837944664031,9.75494071146244,2.59223985890652,2019
"13478",11.6,0,1630,2,1,3.03162055335969,9.75494071146244,1.59223985890652,2019
"13479",11.75,0,13679,2,1,3.03162055335969,9.75494071146244,1.59223985890652,2019
"13485",10.3,0,9964,1,1,3.03162055335969,9.75494071146244,4.59223985890652,2019
"13491",9.05,1,13884,1,1,-2.96837944664031,9.75494071146244,3.59223985890652,2019
