"","LambHornLen","Sur1","ID","Twin","jdateMC","PopDensMC","birthjdateMC","BirthYear"
"5387",91,1,11220,0,1.28790087463557,-143.214285714286,7.00168918918919,1995
"6362",125,1,2911,0,-1.71209912536443,-175.214285714286,11.0016891891892,1999
"6293",171,1,2508,0,3.28790087463557,-175.214285714286,-3.99831081081081,1999
"6267",175,1,4597,0,-4.71209912536443,-175.214285714286,-2.99831081081081,1999
"6299",137,1,7777,0,3.28790087463557,-175.214285714286,0.00168918918919303,1999
"6296",106,1,12100,0,-4.71209912536443,-175.214285714286,1.00168918918919,1999
"6359",167,1,6381,0,-4.71209912536443,-175.214285714286,9.00168918918919,1999
"6280",146,1,355,0,-4.71209912536443,-175.214285714286,-2.99831081081081,1999
"7144",185,1,8818,0,3.28790087463557,-165.214285714286,-22.9983108108108,2002
"6272",135,1,2089,0,3.28790087463557,-175.214285714286,-1.99831081081081,1999
"7551",172,1,8460,0,4.28790087463557,-6.21428571428572,2.00168918918919,2003
"6444",192,1,5848,0,-3.71209912536443,-39.2142857142857,-16.9983108108108,2000
"6769",154,0,8494,0,-0.712099125364432,150.785714285714,-14.9983108108108,2001
"7184",98,1,9107,0,3.28790087463557,-165.214285714286,-0.998310810810807,2002
"7174",147,1,9620,0,-1.71209912536443,-165.214285714286,-3.99831081081081,2002
"6318",120,1,6898,0,-4.71209912536443,-175.214285714286,2.00168918918919,1999
"6281",144,1,1788,0,3.28790087463557,-175.214285714286,-1.99831081081081,1999
"7571",102,1,12970,0,-1.71209912536443,-6.21428571428572,4.00168918918919,2003
"5819",73,1,10457,0,3.28790087463557,41.7857142857143,0.00168918918919303,1997
"6302",158,1,3192,0,-2.71209912536443,-175.214285714286,2.00168918918919,1999
"7220",133,1,5426,0,-1.71209912536443,-165.214285714286,1.00168918918919,2002
"7165",148,1,11837,0,-1.71209912536443,-165.214285714286,-4.99831081081081,2002
"7246",114,1,9598,0,-1.71209912536443,-165.214285714286,6.00168918918919,2002
"6297",170,1,2685,0,3.28790087463557,-175.214285714286,0.00168918918919303,1999
"7159",108,1,7763,0,3.28790087463557,-165.214285714286,-8.99831081081081,2002
"7193",78,1,9757,0,-1.71209912536443,-165.214285714286,-1.99831081081081,2002
"6287",139,1,1858,0,-4.71209912536443,-175.214285714286,-0.998310810810807,1999
"6569",121,1,11890,0,-5.71209912536443,-39.2142857142857,3.00168918918919,2000
"7155",107,1,10827,0,3.28790087463557,-165.214285714286,-8.99831081081081,2002
"6338",78,1,2265,0,3.28790087463557,-175.214285714286,2.00168918918919,1999
"7692",101,1,8000,0,1.28790087463557,-6.21428571428572,3.00168918918919,2003
"6317",146,1,5893,0,-4.71209912536443,-175.214285714286,3.00168918918919,1999
"7197",150,1,8210,0,-1.71209912536443,-165.214285714286,-0.998310810810807,2002
"7941",157,0,10110,0,1.28790087463557,170.785714285714,1.00168918918919,2004
"8215",55,1,1299,0,-2.71209912536443,-95.2142857142857,4.00168918918919,2005
"8740",75,1,686,0,-4.71209912536443,-53.2142857142857,6.00168918918919,2007
"6557",136,1,4611,0,-0.712099125364432,-39.2142857142857,-0.998310810810807,2000
"7233",145,1,12177,0,3.28790087463557,-165.214285714286,0.00168918918919303,2002
"8152",120,1,10488,0,-0.712099125364432,-95.2142857142857,-1.99831081081081,2005
"6460",98,1,9825,0,-3.71209912536443,-39.2142857142857,-10.9983108108108,2000
"7201",173,1,12138,0,-1.71209912536443,-165.214285714286,-0.998310810810807,2002
"7622",87,1,1699,0,-1.71209912536443,-6.21428571428572,7.00168918918919,2003
"7235",148,1,116,0,6.28790087463557,-165.214285714286,3.00168918918919,2002
"7543",90,1,2390,0,-1.71209912536443,-6.21428571428572,-0.998310810810807,2003
"6532",111,1,1943,0,-3.71209912536443,-39.2142857142857,0.00168918918919303,2000
"7508",119,1,14133,0,1.28790087463557,-6.21428571428572,-4.99831081081081,2003
"7194",50,1,11005,0,-1.71209912536443,-165.214285714286,-4.99831081081081,2002
"8201",114,1,576,0,-2.71209912536443,-95.2142857142857,-0.998310810810807,2005
"7216",72,1,10576,0,3.28790087463557,-165.214285714286,-1.99831081081081,2002
"8657",153,0,11483,0,-0.712099125364432,-53.2142857142857,-0.998310810810807,2007
"7217",132,1,13253,0,3.28790087463557,-165.214285714286,-0.998310810810807,2002
"7539",139,1,2605,0,4.28790087463557,-6.21428571428572,-1.99831081081081,2003
"7205",164,1,9607,0,3.28790087463557,-165.214285714286,-2.99831081081081,2002
"7533",73,1,1326,0,1.28790087463557,-6.21428571428572,-2.99831081081081,2003
"8233",131,1,8453,0,-0.712099125364432,-95.2142857142857,11.0016891891892,2005
"7570",162,1,13741,0,-1.71209912536443,-6.21428571428572,5.00168918918919,2003
"7529",113,1,14007,0,1.28790087463557,-6.21428571428572,-2.99831081081081,2003
"7245",56,1,11300,0,-1.71209912536443,-165.214285714286,3.00168918918919,2002
"8584",139,1,7498,0,-0.712099125364432,-53.2142857142857,-14.9983108108108,2007
"7513",198,1,10880,0,-1.71209912536443,-6.21428571428572,-5.99831081081081,2003
"7813",120,1,4405,0,-1.71209912536443,170.785714285714,-5.99831081081081,2004
"8147",175,1,13519,0,-2.71209912536443,-95.2142857142857,-1.99831081081081,2005
"8620",184,1,4358,0,-4.71209912536443,-53.2142857142857,-2.99831081081081,2007
